#DB
#cmd
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	69.28749	
k__Bacteria|p__Verrucomicrobia	2|74201	22.94184	
k__Bacteria|p__Bacteroidetes	2|976	7.63584	
k__Bacteria|p__Actinobacteria	2|201174	0.12231	
k__Bacteria|p__Proteobacteria	2|1224	0.01252	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	31.33695	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	24.31842	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	22.94184	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	13.62341	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	7.63584	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.12231	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.01252	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00871	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	31.33695	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	24.31842	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	22.94184	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	13.62341	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.63584	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.12231	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.01252	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.00871	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	30.86742	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	24.31842	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	22.94184	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	11.88432	
